2020-03-21 06:23:05,760 [myid:2] - WARN  [QuorumPeer[myid=2](plain=0.0.0.0:2181)(secure=disabled):Learner@282] - Unexpected exception, tries=0, remaining init limit=9981, connecting to zoo3/172.20.0.4:2888
java.net.ConnectException: Connection refused (Connection refused)
	at java.net.PlainSocketImpl.socketConnect(Native Method)
	at java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:350)
	at java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:206)
	at java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:188)
	at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:392)
	at java.net.Socket.connect(Socket.java:607)
	at org.apache.zookeeper.server.quorum.Learner.sockConnect(Learner.java:233)
	at org.apache.zookeeper.server.quorum.Learner.connectToLeader(Learner.java:262)
	at org.apache.zookeeper.server.quorum.Follower.followLeader(Follower.java:77)
	at org.apache.zookeeper.server.quorum.QuorumPeer.run(QuorumPeer.java:1253)
2020-03-21 06:23:06,796 [myid:2] - INFO  [QuorumPeer[myid=2](plain=0.0.0.0:2181)(secure=disabled):Learner@395] - Getting a snapshot from leader 0x100000000
2020-03-21 06:23:06,803 [myid:2] - INFO  [QuorumPeer[myid=2](plain=0.0.0.0:2181)(secure=disabled):Learner@546] - Learner received NEWLEADER message
2020-03-21 06:23:06,809 [myid:2] - INFO  [QuorumPeer[myid=2](plain=0.0.0.0:2181)(secure=disabled):FileTxnSnapLog@404] - Snapshotting: 0x100000000 to /data/version-2/snapshot.100000000
2020-03-21 06:23:06,814 [myid:2] - INFO  [QuorumPeer[myid=2](plain=0.0.0.0:2181)(secure=disabled):Learner@529] - Learner received UPTODATE message
2020-03-21 06:23:06,818 [myid:2] - INFO  [QuorumPeer[myid=2](plain=0.0.0.0:2181)(secure=disabled):CommitProcessor@256] - Configuring CommitProcessor with 1 worker threads.
2020-03-21 06:31:12,951 [myid:] - INFO  [main:QuorumPeerConfig@135] - Reading configuration from: /conf/zoo.cfg
2020-03-21 06:31:12,988 [myid:] - INFO  [main:QuorumPeerConfig@377] - clientPort is not set
2020-03-21 06:31:12,988 [myid:] - INFO  [main:QuorumPeerConfig@391] - secureClientPort is not set
2020-03-21 06:31:13,015 [myid:2] - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2020-03-21 06:31:13,015 [myid:2] - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2020-03-21 06:31:13,015 [myid:2] - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2020-03-21 06:31:13,016 [myid:2] - INFO  [main:ManagedUtil@46] - Log4j found with jmx enabled.
2020-03-21 06:31:13,054 [myid:2] - INFO  [main:QuorumPeerMain@141] - Starting quorum peer
2020-03-21 06:31:13,088 [myid:2] - INFO  [main:ServerCnxnFactory@135] - Using org.apache.zookeeper.server.NIOServerCnxnFactory as server connection factory
2020-03-21 06:31:13,108 [myid:2] - INFO  [main:NIOServerCnxnFactory@673] - Configuring NIO connection handler with 10s sessionless connection timeout, 1 selector thread(s), 2 worker threads, and 64 kB direct buffers.
2020-03-21 06:31:13,117 [myid:2] - INFO  [main:NIOServerCnxnFactory@686] - binding to port /0.0.0.0:2181
2020-03-21 06:31:13,239 [myid:2] - INFO  [main:Log@169] - Logging initialized @1719ms to org.eclipse.jetty.util.log.Slf4jLog
2020-03-21 06:31:13,786 [myid:2] - WARN  [main:ContextHandler@1520] - o.e.j.s.ServletContextHandler@4e1d422d{/,null,UNAVAILABLE} contextPath ends with /*
2020-03-21 06:31:13,786 [myid:2] - WARN  [main:ContextHandler@1531] - Empty contextPath
2020-03-21 06:31:13,857 [myid:2] - INFO  [main:X509Util@79] - Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation
2020-03-21 06:31:13,863 [myid:2] - INFO  [main:FileTxnSnapLog@115] - zookeeper.snapshot.trust.empty : false
2020-03-21 06:31:13,898 [myid:2] - INFO  [main:QuorumPeer@1470] - Local sessions disabled
2020-03-21 06:31:13,899 [myid:2] - INFO  [main:QuorumPeer@1481] - Local session upgrading disabled
2020-03-21 06:31:13,899 [myid:2] - INFO  [main:QuorumPeer@1448] - tickTime set to 2000
2020-03-21 06:31:13,899 [myid:2] - INFO  [main:QuorumPeer@1492] - minSessionTimeout set to 4000
2020-03-21 06:31:13,899 [myid:2] - INFO  [main:QuorumPeer@1503] - maxSessionTimeout set to 40000
2020-03-21 06:31:13,899 [myid:2] - INFO  [main:QuorumPeer@1518] - initLimit set to 5
2020-03-21 06:31:13,952 [myid:2] - INFO  [main:ZKDatabase@117] - zookeeper.snapshotSizeFactor = 0.33
2020-03-21 06:31:13,953 [myid:2] - INFO  [main:QuorumPeer@1763] - Using insecure (non-TLS) quorum communication
2020-03-21 06:31:13,954 [myid:2] - INFO  [main:QuorumPeer@1769] - Port unification disabled
2020-03-21 06:31:13,984 [myid:2] - INFO  [main:QuorumPeer@2136] - QuorumPeer communication is not secured! (SASL auth disabled)
2020-03-21 06:31:13,984 [myid:2] - INFO  [main:QuorumPeer@2165] - quorum.cnxn.threads.size set to 20
2020-03-21 06:31:13,990 [myid:2] - INFO  [main:FileTxnSnapLog@404] - Snapshotting: 0x0 to /data/version-2/snapshot.0
2020-03-21 06:31:14,023 [myid:2] - INFO  [main:QuorumPeer@913] - currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2020-03-21 06:31:14,048 [myid:2] - INFO  [main:QuorumPeer@928] - acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2020-03-21 06:31:14,079 [myid:2] - INFO  [main:Server@359] - jetty-9.4.24.v20191120; built: 2019-11-20T21:37:49.771Z; git: 363d5f2df3a8a28de40604320230664b9c793c16; jvm 1.8.0_242-b08
2020-03-21 06:31:14,201 [myid:2] - INFO  [main:DefaultSessionIdManager@333] - DefaultSessionIdManager workerName=node0
2020-03-21 06:31:14,201 [myid:2] - INFO  [main:DefaultSessionIdManager@338] - No SessionScavenger set, using defaults
2020-03-21 06:31:14,203 [myid:2] - INFO  [main:HouseKeeper@140] - node0 Scavenging every 600000ms
2020-03-21 06:31:14,227 [myid:2] - INFO  [main:ContextHandler@825] - Started o.e.j.s.ServletContextHandler@4e1d422d{/,null,AVAILABLE}
2020-03-21 06:31:14,241 [myid:2] - INFO  [main:AbstractConnector@330] - Started ServerConnector@4678c730{HTTP/1.1,[http/1.1]}{0.0.0.0:8080}
2020-03-21 06:31:14,241 [myid:2] - INFO  [main:Server@399] - Started @2743ms
